3;H;64
-2;H;32
0;H;60
2;H;29
6;H;19
2;M;54
4;M;45
7;M;29
1;H;61
6;M;62
-2;H;56
1;M;18
4;H;49
3;M;36
7;M;47
4;M;24
0;H;54
2;H;40
7;H;39
-2;M;41
4;H;54
1;H;26
7;H;27
3;M;57
0;H;63
0;M;60
3;M;50
6;M;52
3;H;33
1;H;26
4;M;32
0;H;31
2;M;18
5;H;65
5;M;40
1;H;62
0;H;23
7;M;33
-2;H;33
7;H;25
2;H;54
1;H;26
4;H;49
7;M;33
4;M;54
0;H;25
1;H;18
0;M;45
1;M;54
-2;H;24
1;H;63
6;H;31
3;H;19
0;M;54
7;H;54
4;M;54
5;H;58
1;M;47
6;M;60
-2;M;57
7;M;60
4;H;20
6;H;54
-2;M;27
3;H;64
-2;M;30
7;M;20
2;M;57
5;M;37
0;M;45
3;M;27
4;H;40
6;M;35
7;M;59
0;M;65
1;H;54
4;H;54
1;M;39
6;M;58
3;M;46
7;H;29
0;M;31
1;H;63
0;H;44
4;H;18
4;H;30
1;M;59
7;M;20
0;H;49
5;M;46
-2;H;49
4;M;50
0;M;22
2;H;63
4;M;29
7;H;24
7;M;51
5;H;35
2;M;41
1;H;62
6;M;34
3;M;39
5;H;45
3;H;45
5;H;38
4;M;38
1;M;30
2;M;38
2;M;21
1;H;31
1;H;45
4;H;28
0;M;51
-2;H;47
5;H;54
1;M;35
6;M;25
4;H;62
4;M;56
5;M;46
4;M;29
1;M;24
0;M;46
3;H;37
7;H;37
2;H;43
3;M;61
0;M;34
-2;M;33
4;M;27
0;H;54
4;M;58
0;M;32
-2;H;35
7;M;25
4;H;34
5;M;36
6;H;27
7;M;55
7;H;51
1;M;23
4;H;41
2;H;58
6;H;21
4;H;52
-2;M;42
4;H;65
5;M;18
3;M;52
3;M;20
1;M;52
2;M;20
-2;M;61
6;H;61
2;H;47
1;H;32
3;M;62
6;M;63
0;H;54
1;H;30
5;M;26
1;M;23
2;M;51
6;M;43
4;M;57
0;H;21
2;H;29
6;H;62
2;M;42
6;H;39
1;M;45
7;M;52
6;H;54
-2;H;40
2;H;35
2;H;59
5;M;45
3;M;44
1;H;52
-2;H;50
3;H;44
6;H;20
7;H;21
0;H;47
5;H;28
0;M;29
0;H;62
-2;M;40
2;M;45
7;M;53
-2;M;54
4;H;41
2;H;61
0;M;26
7;M;44
0;M;33
3;M;35
3;H;31
6;H;38
7;M;41
2;M;62
0;M;60
0;M;51
2;M;47
0;M;20
1;H;27
5;M;55
2;M;51
4;H;21
2;H;23
5;M;62
4;M;31
1;M;38
2;M;18
-2;M;37
-2;H;45
5;M;28
3;M;64
-2;M;56
2;M;30
4;M;25
-2;H;47
0;H;65
0;M;40
6;H;37
4;H;38
6;H;21
5;M;24
1;H;37
3;M;53
0;M;58
6;M;34
6;M;38
5;M;59
3;H;54
5;H;65
2;M;61
7;H;41
3;M;42
7;H;56
6;H;42
4;M;53
5;H;49
1;M;26
2;H;30
3;M;53
3;M;63
6;H;54
4;M;23
4;M;32
3;M;50
4;M;38
0;H;35
0;M;60
-2;M;56
2;H;38
4;H;26
-2;M;55
4;M;48
1;H;23
0;M;27
5;M;65
1;H;28
4;H;24
4;M;43
2;H;47
5;H;34
-2;M;43
2;M;62
0;M;48
4;H;22
2;H;43
5;M;58
0;M;31
3;M;50
4;H;22
0;H;41
3;M;45
3;H;63
5;M;60
1;H;47
1;M;36
1;H;39
4;M;20
3;H;65
5;H;32
7;H;57
5;M;43
-2;M;47
3;H;18
3;H;25
6;M;53
2;M;63
4;H;60
3;H;36
7;H;54
2;H;55
5;H;30
5;M;39
4;M;55
